source_title,target_title,source_ns,target_ns
American Open Circulation & Vascular Journal,Research and Knowledge Publication academic journals,0,14
Law/Archive_1,Law/Archive_1,100,101
Russia/Russia-related_Wikipedia_notice_board/Archive05,WikiProject_Russia/Russia-related_Wikipedia_notice_board/Archive05,100,4
UniverseNav,Location_of_Earth,10,0
QUI,TheDJ/Qui,12,2
WikiProject_United_States_Public_Policy/Courses/Wikipedia_and_Public_Policy_fall_2010,WikiProject_United_States_Public_Policy/Courses/Wikipedia_and_Public_Policy_fall_2010,5,4
Cladogram,Clade,12,10
UK,Manual_of_Style/Abbreviations,12,4
Adding_citations,Citing_sources,0,4
WikiProject_Rome/Showcase/FA,FA-Class_Rome_articles,4,14
Quiz,Introduction_to_the_Manual_of_Style/Manual_of_Style_quiz,126,12
YYYY_in_nationality_sport_category_header/doc,YYYY_in_nationality_sport_category_header,11,10
Cladogram_of_Pteropoda,Cladogram_of_Pteropoda,0,10
Sockpuppet_investigations/Sakura_emad,Sockpuppet_investigations/Sakura_emad,5,4
Userbox/TVNZ,UBX/TVNZ,10,2
ISBN_RangeMessage_xlate,Format_ISBN,829,10
Hong_Kong/box-footer,Box-footer,101,10
Wikipedia_Asian_Month,Wikipedia_Asian_Month/Header,10,4
Untitled_animated_Tom_&_Jerry_film,Tom_&_Jerry_(upcoming_film),119,118
TDYK,Did_you_know,10,11
WikiProject_Germany/Portal:Thuringia/March,Thuringia/March,4,100
Harlem_City_College_Wiki_Photo_Tour,Meetup/NYC/Harlem_City_College_Wiki_Photo_Tour,1728,4
Jimbo_Wales/Talk,Jimbo_Wales,2,3
JIMBOTALK,Jimbo_Wales,4,3
